dates,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
2016-10-27 16:16:29+00:00,485.32378138464514,431.4431717459921,448.0559194053003,502.3421232455799,512.2378363408942,577.9146725849596,558.2000374313313,524.2587169184404,501.3562165089059,508.9325678371322
2016-11-03 16:33:05+00:00,463.9828893698194,404.2557395808672,437.2280478184052,483.75224758481727,490.839341642538,565.1045472746194,538.9132406707665,495.5153124062448,475.3194689484491,487.8236440670684
2016-11-13 16:33:06+00:00,486.1305488368331,,456.7374937479125,507.94469899964463,520.4175405288472,588.418096101884,566.153721597387,529.7262253397544,508.4223957389655,513.8834178806162
2017-01-15 16:16:18+00:00,491.1900078132503,408.1769024891325,441.1153452988798,516.6785008399331,517.8200078119813,565.0505869951874,537.9557073747246,522.9884795024768,519.4332317629312,520.8811558587812
2017-01-31 16:16:11+00:00,476.1010304891344,398.9483612680512,439.4830768179377,505.5401475746924,498.3870724548035,551.4357634619896,545.2506933027698,518.3280645179649,512.8639043214681,504.2709684937688
2017-02-01 16:33:01+00:00,485.5642261508922,399.5884748996097,441.883877250665,499.61123058132006,506.364972391976,551.057073310654,544.1829631832998,520.0417007866895,512.0532709679719,499.8383069747955
2017-02-16 16:16:04+00:00,484.1083592573125,404.5097951217072,444.6818171488481,506.0417331879023,503.9210193293992,565.0625110953197,552.5495966314219,514.5585525327095,509.8098731819212,501.0743443232286
2017-02-21 16:33:49+00:00,509.7195070144573,431.626985644361,458.24721827066287,524.1768134349987,531.7962042876738,583.8714929102799,569.1662747756709,539.5635139821924,523.1736580206042,518.39154879172
2017-03-03 16:33:00+00:00,506.18624227585184,413.1658477228804,451.7126196492286,520.6763722975297,514.3074807117647,572.8346665011112,555.5651316977487,520.9680229280062,521.3379018136035,518.1508318444203
2017-03-04 16:15:58+00:00,495.8185832564277,407.5480244328276,441.4850263221402,511.6972933710776,510.1446645670356,569.1725968099499,557.050118759895,514.5786758581413,508.58346189021495,508.2358259879702
2017-03-23 16:33:01+00:00,516.5411154118784,434.4112554118378,455.0100864686215,525.3509036372266,534.8596598209467,576.104094842585,567.1277359211003,539.7269766565571,524.9756449952223,518.1742657308996
2017-04-05 16:15:41+00:00,512.8326037591821,436.0497754655254,459.9624759945257,535.0652102211092,537.3284161075421,577.5929084822695,562.7261267285869,541.8026210391724,528.7426844208366,523.3062078744732
2017-04-12 16:33:54+00:00,486.3809049538252,399.447009851535,436.1736347318605,501.44720704391045,501.9416257040787,558.9581347522483,539.3108567325837,511.4050074832869,505.51851328702105,505.7261620915047
2017-04-21 16:15:31+00:00,516.345815585085,438.5783162852852,458.73729905817527,532.8543106531927,540.9625681167068,583.3048388588762,564.301151814623,539.4066687656906,525.3421762508175,527.5715284474991
2017-06-01 16:33:54+00:00,479.5196108278941,415.8847515273018,446.5884554833257,498.5953989767985,516.3590794163141,565.6454752063987,551.1669031217439,521.9772608938408,502.5674913681408,503.9835876949375
2017-06-08 16:15:48+00:00,,,,,,567.4947371486043,541.3797859181554,510.69749765666114,489.3310134892973,
2017-06-11 16:33:08+00:00,469.87006670096736,403.24185096471,439.6093426110906,498.6455957168372,492.3999861732512,564.3948118430866,543.8306508254424,515.6096750100617,488.3598709335391,490.972039340378
2017-07-01 16:33:06+00:00,478.8407540934202,430.5279819061733,447.5097904003404,520.6066018454408,512.4696235763925,583.4655040072412,566.5644474170551,542.3931103950165,514.7484406753431,514.8170533040155
2017-08-25 16:33:31+00:00,422.97210819592647,,,480.9711592862766,480.13924400231474,,,,494.63211801735497,485.64498366980433
2017-11-18 16:33:04+00:00,431.9133448234946,422.4251356648719,438.2372375467624,491.7976097318324,467.0594131993906,574.516215160392,548.1063616881164,518.8552877185388,494.6146147251036,490.6714477918928
2017-11-23 16:33:43+00:00,427.7511375215983,412.8147044694852,433.80595605389686,479.5125197338364,458.7551512545364,566.9493333178445,540.2604180679564,513.0625676658238,488.971484814722,484.6388076111441
2017-12-01 16:16:17+00:00,420.0480129153448,,,503.3337106891217,476.7646867526184,,,,510.501653964305,506.2037773905992
2017-12-28 16:33:01+00:00,455.6001417523474,442.1248981804573,449.70246237652736,522.6713710995729,504.18109997775446,585.8619207542044,570.962026521111,549.7526614304912,527.1281848322842,518.2691757127594
2018-01-12 16:33:47+00:00,464.02091513628153,438.2178563278208,453.7008440401001,519.9767664656309,504.9788961410325,584.6152045808442,575.2728393511977,554.923433889191,533.4307935430803,519.0355996681287
2018-01-17 16:33:48+00:00,440.2704663272244,413.1219095805914,438.86246098939927,498.8940606944309,490.8857627113057,567.1279009558698,561.648967886445,537.0263853056626,520.7692738348513,501.09706268880905
2018-01-18 16:16:10+00:00,429.0886009954543,401.4589172837451,430.6140473765913,495.81137453410247,478.1470082912696,558.4473401681785,550.524635064471,531.3777333405934,516.735049844757,493.33444336231287
