,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
195,2020-04-06 16:33:53+00:00,S2,479.8173003362622,408.74633907779713,441.18531305575317,500.2571350746284,497.76327159697144,569.6702162062857,559.4943338748577,527.2185356190972,513.5470701654692,503.4007390915125
196,2020-04-21 16:33:50+00:00,S2,488.93888867579744,428.27635601278183,454.35628408646215,510.54127851953126,512.4858424518882,575.0680136866642,567.2006947521553,536.5994378617202,521.7657634853534,510.7134721007227
197,2020-05-16 16:34:01+00:00,S2,471.54688048253456,404.36548429797585,436.73243581603725,502.90884945158615,501.3689660165747,562.9378527846261,554.669996675447,519.4945622059297,503.6565015677504,498.3691008370476
198,2020-05-26 16:34:01+00:00,S2,494.0747037515854,423.34597920008844,447.20091552629736,517.7723566906534,522.447429939222,573.4392321888922,562.5569369334607,536.4755526540146,518.4917270693896,511.2243443977942
199,2020-05-31 16:15:38+00:00,L8,477.9120546696563,398.32347505395484,443.933691021293,497.0982424009693,497.62750013510293,570.7209452535104,564.4297963995111,,,
200,2020-05-31 16:33:57+00:00,S2,477.09162035891586,410.0216984118835,441.07996834638135,500.9055492028557,505.27211330162277,565.1971720728568,551.8141204232157,520.827819691832,508.13187595681677,499.63349909451375
201,2020-06-05 16:34:02+00:00,S2,491.151656802338,420.35790555202266,447.4078908920807,510.8261530049259,516.8461401472506,572.6630510154573,553.1933233640461,524.0258290241542,515.1491292914643,513.3451285170909
202,2020-06-15 16:34:02+00:00,S2,464.7608839066185,393.75889351540735,426.43511084819824,504.52023269499597,494.96462697114333,562.2443048524652,539.0391737035883,510.3184662577723,503.110769514703,495.42257859493805
203,2020-06-25 16:34:01+00:00,S2,484.61552238215097,435.06811525474757,455.4484762452506,534.5693086756544,523.0631158742248,586.6552100662183,562.4363065852001,534.0355557419966,526.9298018852512,503.58149677477115
204,2020-08-24 16:34:01+00:00,S2,466.7820685548082,427.79128157339,448.320316319857,519.393893936781,507.8612541597694,573.5505587181833,555.049255570262,540.1977781764438,510.3588140741077,509.3237561705429
205,2020-09-03 16:34:00+00:00,S2,461.20465881075523,432.83716309711883,445.9726790240836,510.1472203008199,502.2179827627876,585.2425980397807,565.1410875663992,538.5195293180126,506.83258769985497,513.4314142766332
206,2020-09-04 16:16:19+00:00,L8,460.8320725843017,436.1572534303164,454.8398811035474,517.39870337332,505.74369117119556,607.2736225213876,573.653020617797,541.9072224547258,510.05695666918484,515.6213426357589
207,2020-09-23 16:34:01+00:00,S2,,,,498.1837714135828,484.22838495328364,,,,498.24922068109146,491.5318116511449
208,2020-10-06 16:16:28+00:00,L8,457.8193082433417,430.3865434739899,447.4394114724054,509.9270600887081,494.8992281907289,580.0602682658266,559.4560378374036,535.768937978995,504.6998831981349,505.64061387335477
209,2020-10-13 16:34:01+00:00,S2,448.96384739947337,409.1128347614997,430.38995764527067,500.06333502828625,484.9870284012071,562.7144552549703,550.1101843525644,536.5605020407021,506.16237370460215,493.85092867201456
210,2020-11-07 16:16:26+00:00,L8,454.1669194110082,428.9893959445836,443.7985915192836,492.1642603114579,491.01967036203587,570.6642072995353,547.3233721269906,521.4727401096513,508.44379484916027,497.3127329969577
211,2020-11-07 16:33:57+00:00,S2,463.8651712529977,433.0708164470887,449.33836860782503,504.53214315492477,501.01676170998985,579.4919945068638,561.597967282785,532.5907368999478,518.231618506284,507.2518679957858
212,2020-11-17 16:33:56+00:00,S2,498.87471094442395,469.7795142812873,469.7112298142422,534.8994141229904,534.4987202707457,610.4152398266564,586.1739833308902,573.1188647510332,550.243522078939,540.183655689866
213,2020-11-22 16:33:57+00:00,S2,472.8455380747,421.44347354922616,444.1712748048742,506.88348953733265,496.8405705646558,579.838410546269,562.5068768314627,540.9783026788131,515.2209745901729,507.6677586184021
214,2020-12-02 16:33:55+00:00,S2,486.2624635579089,,457.4218995679596,528.7781127626212,520.130731801831,594.2929075852921,576.2295094950439,570.2968165370398,529.7462803591882,531.3307857310049
215,2020-12-27 16:33:53+00:00,S2,481.6417270686631,439.4444085070096,458.2871095486472,520.0863360638966,515.8020143309885,,,,545.1852329110861,522.2850335486962
216,2021-01-01 16:33:56+00:00,S2,489.90133306707713,446.74323430033957,463.56162119600697,534.3684376648215,534.5152835005666,584.8894488739297,573.2163892340791,590.4692499960331,540.5169509874121,540.6683560140048
217,2021-01-06 16:33:54+00:00,S2,474.06930494617694,422.0667410047548,449.23478721782107,508.8747862618549,502.1725919433056,576.4701390047023,561.4428158915451,546.0840521361072,516.8007183140642,515.8590094674717
218,2021-01-10 16:16:21+00:00,L8,459.4890982219085,400.4144573890076,439.14282454130966,495.90025021812613,492.71759141651,561.7710168829578,547.7917966359093,533.859269550527,505.387880866887,504.2873951856999
219,2021-01-11 16:33:56+00:00,S2,466.42397251564745,416.8846420723184,446.4720411828747,507.0362786613891,500.9363914558014,573.2243266214552,558.8575626878023,544.8729583076744,511.2930786056554,510.36212195237795
220,2021-01-26 16:16:17+00:00,L8,462.7893726595309,392.1533052587649,437.56899396376394,,,,,,,415.3301363190354
221,2021-01-26 16:33:55+00:00,S2,,,,,,,,,,515.2583477864627
222,2021-01-31 16:33:55+00:00,S2,500.7560220166433,444.015940073714,459.0466031542486,541.0179720782742,542.2223766944164,584.3066441890946,586.8194376191175,569.2093523483401,559.8504367661568,551.8243519490787
223,2021-02-15 16:33:53+00:00,S2,512.2230558866348,441.8749345052339,479.7441369803581,541.6761148393093,534.0811997638293,610.0086648573409,599.7656161788839,,,549.0415825481596
224,2021-02-25 16:33:54+00:00,S2,496.2115828825905,432.4421482439655,469.473747179313,529.5470487088587,522.7199569169641,592.7017344166323,581.8215500974297,553.7589266907479,544.7466356766918,534.230200888457
225,2021-03-15 16:15:59+00:00,L8,499.5292006939123,430.4714258705891,461.9859663552363,534.6691075943347,528.8467468128089,589.3775967935785,579.6833654111846,557.1535483756256,542.9773321613267,531.9791436246319
226,2021-03-17 16:33:55+00:00,S2,499.25022947948605,431.7041023880158,460.9685178673792,544.3967551754392,540.4386756615539,593.1873484498537,587.0281367929631,561.8686967161998,551.6616043836856,541.7838236720002
227,2021-03-27 16:33:54+00:00,S2,503.9746885264744,436.02032073931036,459.1789305884255,528.4432082460052,525.724597514848,588.3296815129137,577.9165567186676,552.1232451421293,538.3001483754233,529.2386009718487
228,2021-03-31 16:15:55+00:00,L8,514.316132796935,431.7904803105946,459.9642664465617,538.760732522589,542.6318422502047,583.0102219280011,579.634611656483,564.384032874088,547.7377328982627,539.0004733109379
229,2021-04-01 16:33:53+00:00,S2,500.60024032823475,430.3780759617985,457.7670504063665,519.4232812392908,525.9178409356663,582.3357480476393,572.6343786174664,549.0851141402517,534.2016463105009,526.4549441103494
230,2021-04-06 16:33:53+00:00,S2,482.98290314807866,418.2643475563445,450.2467314712219,507.49736514144274,503.3529409809019,569.7839985222206,558.590617041388,528.5322282043578,518.0336108526811,509.12269677182417
231,2021-04-16 16:15:49+00:00,L8,483.0566735255001,419.97987063200196,450.82495172510204,513.1939067278765,504.52929158909853,573.2419511017129,564.7814716558564,527.9982760018503,522.2479663413255,507.6460681050486
232,2021-05-01 16:33:53+00:00,S2,494.41547509956666,422.9541819142132,450.82008615070345,511.30731055816017,520.463001398126,580.5014023087748,560.4264626067996,526.8952882904887,525.3668915644034,507.75364607026836
