date,Hs_max,Tp,MeanDir
2001-04-07,1.6549072,15.733742,199.99751
2001-04-08,2.113037,15.250343,208.0316
2001-04-09,2.3520508,16.779152,208.63123
2001-04-10,2.3701172,16.159523,207.86638
2001-04-11,2.2331543,14.963722,206.06975
2001-04-12,1.9538574,13.523781,203.78899
2001-04-13,1.6501465,12.118996,206.28351
2001-04-14,1.6677246,17.320168,202.28218
2001-04-15,2.1436768,16.031593,200.94272
2001-04-16,2.1989746,15.918312,200.84624
2001-04-17,1.9679136,14.694679,200.98384
2001-04-18,1.6862793,13.304543,193.16014
2001-04-19,1.973999,15.028175,189.12729
2001-04-20,1.9730225,14.775734,189.98161
2001-04-21,2.5506592,17.749367,202.76653
2001-04-22,2.727232,17.45298,202.69566
2001-04-23,2.4426842,15.211769,201.27538
2001-04-24,1.9449463,13.472023,195.62778
2001-04-25,1.7253418,10.158546,179.76773
2001-04-26,1.987793,16.593117,180.6106
2001-04-27,2.1765137,14.57798,178.04227
2001-04-28,2.2001953,14.302589,177.15881
2001-04-29,2.033081,12.035011,173.94196
2001-04-30,2.2543945,15.035011,176.0434
2001-05-01,2.2701416,14.609718,175.4082
2001-05-02,2.2507324,16.338722,181.70412
2001-05-03,2.2480469,16.277199,182.23108
2001-05-04,2.0789795,14.898537,189.30478
2001-05-05,1.8369379,13.689308,189.11172
2001-05-06,1.6729736,12.878273,184.5919
2001-05-07,1.7929688,14.692238,198.14687
2001-05-08,2.0949707,17.8563,201.97537
2001-05-09,2.2819824,16.377785,200.04218
2001-05-10,2.2044678,15.486671,198.044
2001-05-11,2.5187988,16.451027,197.83464
2001-05-12,2.5734863,16.008644,198.13347
2001-05-13,2.6984863,19.29966,193.35739
2001-05-14,3.0280094,17.57505,198.68048
2001-05-15,2.9851074,17.244972,197.4616
2001-05-16,2.5604248,15.505714,188.56537
2001-05-17,2.677002,18.120949,189.44858
2001-05-18,2.6991215,17.813332,190.02724
2001-05-19,2.3928223,16.03843,186.24731
2001-05-20,1.8929443,14.541847,183.31624
2001-05-21,1.704956,13.5613785,184.42517
2001-05-22,2.149414,16.192726,183.43687
2001-05-23,2.1662598,15.661476,184.32527
2001-05-24,2.0952148,14.304054,183.31107
2001-05-25,1.8868408,13.062355,181.73633
2001-05-26,1.9069567,14.096535,174.03583
2001-05-27,1.8769531,13.786964,174.20203
2001-05-28,1.6516113,12.719093,174.111
2001-05-29,1.3422852,12.9207535,179.7907
2001-05-30,1.5705566,12.894875,192.2969
2001-05-31,1.6517334,12.660011,192.4845
2001-06-01,1.7801514,12.050148,184.79256
2001-06-02,1.7973318,11.909523,185.306
2001-06-03,1.9863281,14.466652,175.75931
2001-06-04,2.0250425,13.117043,171.492
2001-06-05,2.32944,15.836769,171.05644
2001-06-06,2.4404087,15.1707535,170.08308
2001-06-09,1.8441162,13.493507,171.11089
2001-06-10,1.9978027,15.672218,188.26654
2001-06-11,2.1013184,14.754738,195.45174
2001-06-12,2.0321045,14.068703,197.0968
2001-06-13,2.0013428,13.463722,197.7434
2001-06-14,1.916626,13.669289,191.68423
2001-06-15,1.8791504,16.388039,192.47421
2001-06-16,2.1901855,15.616554,191.60779
2001-06-17,2.0759277,14.305031,185.41788
2001-06-18,2.0169678,14.4105,177.68053
2001-06-19,2.0684843,10.347511,170.3483
2001-06-20,2.2653809,16.08091,171.73552
2001-06-21,2.2509766,15.225441,173.84421
2001-06-22,2.20813,14.785988,184.15216
2001-06-23,2.0632324,13.649757,182.96977
2001-06-24,1.6928711,12.428078,175.12442
2001-06-27,1.890625,16.465675,170.95682
2001-06-28,2.0109863,14.5267105,179.95468
2001-06-29,2.208374,16.118996,186.36996
2001-06-30,2.1916208,15.34214,186.3408
2001-07-01,2.0512695,13.843605,185.12337
2001-07-02,2.034912,16.219093,179.49362
2001-07-03,2.0411377,16.01255,179.44162
2001-07-04,1.9373779,9.416359,174.18355
2001-07-05,1.7422495,9.306007,172.5482
2001-07-06,1.5809326,15.814308,172.75357
2001-07-07,1.6217041,15.457863,199.16173
2001-07-08,1.8793945,13.54673,192.41692
2001-07-09,1.8748779,13.490089,192.03152
2001-07-10,1.6726074,12.438332,182.09952
2001-07-11,2.0372314,16.522804,197.61954
2001-07-12,2.2512207,14.8235855,196.12477
2001-07-13,2.2268066,14.70298,195.84575
2001-07-14,1.9526901,13.135109,182.26566
2001-07-15,1.7285156,13.283058,184.17279
2001-07-16,1.6352539,13.291847,184.73177
2001-07-17,1.6247559,13.175148,185.12502
2001-07-18,1.7235107,13.021828,200.02751
2001-07-19,2.0899658,14.565285,193.22308
2001-07-20,2.3381348,15.208351,202.4078
2001-07-21,2.381836,15.137062,203.76619
2001-07-22,2.2354736,14.350441,202.03563
2001-07-23,1.9545898,12.482765,183.96269
2001-07-24,1.9057617,12.801125,180.90686
2001-07-25,1.7852774,12.300636,172.91484
2001-07-26,1.5518799,8.2801285,174.98734
2001-07-27,1.5737305,8.665382,172.45323
2001-07-29,1.8828125,15.458351,178.86424
2001-07-30,1.9064941,15.077492,180.58195
2001-07-31,1.8530273,13.300148,181.23198
2001-08-01,1.5299072,12.105324,179.00996
2001-08-02,1.6568604,15.841164,193.6254
2001-08-03,2.0284424,14.007179,190.10736
2001-08-04,2.4715576,14.156105,187.31752
2001-08-05,2.4678955,13.7298355,187.14072
2001-08-06,2.3773193,9.903664,176.20752
2001-08-07,2.1711426,9.782082,171.10301
2001-08-08,2.083374,15.618507,184.43347
2001-08-09,2.0776367,15.333839,185.05458
2001-08-10,1.8830566,13.944679,187.0623
2001-08-11,1.7480469,17.429054,189.735
2001-08-12,1.7512207,17.222023,191.54727
